date,pm25,pm10,o3,no2,so2,co
2013/12/31,,121.0,29.0,57.0,30.0,14.0
2014/1/1,188.0,92.0,39.0,54.0,17.0,13.0
2014/1/2,170.0,105.0,21.0,55.0,32.0,12.0
2014/1/3,191.0,94.0,18.0,36.0,19.0,9.0
2014/1/4,176.0,53.0,13.0,37.0,13.0,7.0
2014/1/5,116.0,36.0,28.0,28.0,10.0,7.0
2014/1/6,83.0,48.0,28.0,34.0,7.0,7.0
2014/1/7,120.0,39.0,27.0,22.0,10.0,6.0
2014/1/8,106.0,52.0,26.0,16.0,10.0,5.0
2014/1/9,97.0,62.0,28.0,25.0,14.0,6.0
2014/1/10,120.0,51.0,25.0,23.0,9.0,6.0
2014/1/11,127.0,66.0,30.0,26.0,13.0,6.0
2014/1/12,152.0,46.0,26.0,18.0,13.0,5.0
2014/1/13,104.0,25.0,27.0,19.0,11.0,7.0
2014/1/14,76.0,34.0,29.0,19.0,9.0,3.0
2014/1/15,94.0,69.0,29.0,35.0,13.0,10.0
2014/1/16,156.0,79.0,15.0,46.0,20.0,13.0
2014/1/17,169.0,112.0,29.0,28.0,22.0,10.0
2014/1/18,207.0,89.0,34.0,35.0,19.0,10.0
2014/1/19,179.0,149.0,17.0,40.0,33.0,14.0
2014/1/20,226.0,73.0,26.0,20.0,17.0,5.0
2014/1/21,122.0,57.0,17.0,30.0,17.0,7.0
2014/1/22,132.0,41.0,29.0,24.0,9.0,4.0
2014/1/23,114.0,35.0,28.0,22.0,10.0,3.0
2014/1/24,95.0,79.0,34.0,26.0,13.0,7.0
2014/1/25,154.0,45.0,30.0,12.0,8.0,4.0
2014/1/26,89.0,26.0,29.0,21.0,6.0,3.0
2014/1/27,69.0,52.0,30.0,22.0,14.0,7.0
2014/1/28,127.0,57.0,26.0,24.0,7.0,5.0
2014/1/29,141.0,127.0,31.0,27.0,13.0,13.0
2014/1/30,230.0,107.0,47.0,12.0,9.0,8.0
2014/1/31,201.0,58.0,37.0,20.0,7.0,6.0
2014/2/1,140.0,132.0,30.0,21.0,6.0,16.0
2014/2/2,236.0,59.0,31.0,9.0,5.0,5.0
2014/2/3,124.0,38.0,34.0,5.0,7.0,3.0
2014/2/4,75.0,21.0,30.0,9.0,6.0,5.0
2014/2/5,64.0,10.0,26.0,11.0,4.0,4.0
