time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,precipitation_hours,apparent_temperature_max,apparent_temperature_min,sunshine_duration,wind_speed_10m_max,wind_gusts_10m_max,wind_speed_10m_mean
1980-01-01,12.7,8.2,9.9,0.0,0.0,10.6,3.8,0.0,21.7,38.2,13.7
1980-01-02,8.9,5.4,6.5,3.0,8.0,7.8,2.1,0.0,15.4,28.1,11.9
1980-01-03,5.9,4.6,5.2,7.4,15.0,2.4,0.7,0.0,18.4,30.2,12.8
1980-01-04,5.4,-0.5,3.3,1.4,5.0,1.0,-5.8,15448.16,27.1,47.9,20.7
1980-01-05,4.0,-3.7,-0.1,0.0,0.0,0.5,-8.9,33514.38,18.4,31.7,10.6
1980-01-06,7.1,-3.5,1.8,0.0,0.0,2.1,-7.5,30756.16,17.8,32.0,11.1
1980-01-07,4.1,-3.4,0.5,0.0,0.0,-0.1,-8.4,33600.87,19.0,32.4,11.7
1980-01-08,7.7,-2.5,2.7,1.7,8.0,4.4,-6.7,8237.43,12.5,25.6,8.1
1980-01-09,8.6,-1.0,2.5,0.0,0.0,3.7,-5.0,33699.34,20.4,35.3,12.4
1980-01-10,5.0,-1.5,1.4,0.0,0.0,1.4,-5.1,31475.66,19.3,30.6,11.4
1980-01-11,6.2,0.3,3.5,0.2,1.0,3.1,-4.0,22667.9,15.3,27.0,10.8
1980-01-12,8.1,2.1,5.4,13.2,21.0,5.8,-2.6,0.0,20.9,35.6,13.1
1980-01-13,4.1,-1.4,1.1,0.0,0.0,-0.8,-6.4,33928.7,19.4,37.1,16.3
1980-01-14,7.3,-2.8,1.6,0.0,0.0,2.2,-6.9,33992.14,16.9,33.1,13.0
1980-01-15,8.8,-3.0,2.1,0.0,0.0,3.1,-6.7,34057.82,25.0,45.0,12.0
1980-01-16,11.6,-2.5,4.0,0.0,0.0,7.9,-6.5,34125.62,9.8,21.2,7.8
1980-01-17,6.3,-0.9,3.1,0.0,0.0,1.0,-5.6,26804.71,28.2,49.3,18.4
1980-01-18,4.9,-1.7,1.6,0.0,0.0,0.8,-5.8,29527.69,12.8,29.2,9.8
1980-01-19,9.2,1.8,4.8,0.0,0.0,6.3,-1.2,22455.21,14.9,23.8,9.2
1980-01-20,5.7,-0.7,2.6,0.0,0.0,1.0,-4.3,32441.59,15.0,28.4,11.7
1980-01-21,7.0,-1.4,2.3,0.0,0.0,2.0,-5.3,34492.68,17.5,33.5,11.8
1980-01-22,7.3,-0.9,2.7,0.0,0.0,4.1,-4.2,34570.98,8.4,13.7,5.2
1980-01-23,10.4,-1.2,4.1,0.0,0.0,6.7,-4.9,34650.68,14.3,29.2,9.8
1980-01-24,12.4,0.7,6.7,0.3,2.0,9.6,-2.5,23830.26,12.9,24.5,10.3
1980-01-25,9.9,7.9,8.5,4.1,17.0,7.1,4.3,0.0,19.4,33.1,14.5
1980-01-26,12.1,8.1,9.6,6.4,14.0,12.1,5.1,0.0,15.2,29.5,8.8
1980-01-27,10.3,6.9,8.3,0.0,0.0,9.2,4.7,0.0,9.4,17.3,6.2
1980-01-28,12.3,5.5,8.3,4.8,8.0,11.6,0.9,0.0,22.0,37.1,12.5
1980-01-29,5.4,0.4,2.6,6.9,18.0,0.9,-6.0,0.0,30.6,54.4,24.9
1980-01-30,-0.0,-8.6,-5.1,0.0,0.0,-6.9,-16.2,4907.84,31.4,56.9,29.4
1980-01-31,-4.6,-11.1,-8.1,0.0,0.0,-10.9,-17.7,35225.01,27.3,42.8,20.0
